"PLT_CN","LON_PUBLIC","LAT_PUBLIC","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"40416219010690",-106.256115,41.3626,56,2,1,86087,"PID560200186087","56001"
"40416220010690",-106.135369,41.369098,56,2,1,81642,"PID560200181642","56001"
"40416221010690",-106.072314,41.372969,56,2,1,82491,"PID560200182491","56001"
"40416222010690",-106.019319,41.366709,56,2,1,80948,"PID560200180948","56001"
"40416223010690",-105.95362,41.367572,56,2,1,86584,"PID560200186584","56001"
"40416224010690",-105.895834,41.370953,56,2,1,81181,"PID560200181181","56001"
"40416225010690",-105.774424,41.374294,56,2,1,85142,"PID560200185142","56001"
"40416226010690",-105.72461,41.371218,56,2,1,85019,"PID560200185019","56001"
"40416227010690",-105.601669,41.373659,56,2,1,83589,"PID560200183589","56001"
"40416228010690",-105.537282,41.371873,56,2,1,80793,"PID560200180793","56001"
"40416229010690",-105.424984,41.375204,56,2,1,84141,"PID560200184141","56001"
"40416230010690",-105.358158,41.368108,56,2,1,85855,"PID560200185855","56001"
"40416231010690",-105.300575,41.373973,56,2,1,85598,"PID560200185598","56001"
"40416232010690",-106.185155,41.318533,56,2,1,81303,"PID560200181303","56001"
"40416233010690",-106.131167,41.323148,56,2,1,82737,"PID560200182737","56001"
"40416234010690",-106.07584,41.325611,56,2,1,86327,"PID560200186327","56001"
"40416235010690",-105.901408,41.32538,56,2,1,87343,"PID560200187343","56001"
"40416236010690",-105.826262,41.32217,56,2,1,82901,"PID560200182901","56001"
"40416237010690",-105.775539,41.325222,56,2,1,88824,"PID560200188824","56001"
"40416238010690",-105.7124,41.321999,56,2,1,85137,"PID560200185137","56001"
"40416239010690",-105.600864,41.325305,56,2,1,86466,"PID560200186466","56001"
"40416240010690",-105.540934,41.323141,56,2,1,84430,"PID560200184430","56001"
"40416241010690",-105.480491,41.329661,56,2,1,84234,"PID560200184234","56001"
"40416242010690",-105.420879,41.332014,56,2,1,81121,"PID560200181121","56001"
"40416243010690",-105.307683,41.321646,56,2,1,83026,"PID560200183026","56001"
"40416244010690",-106.313713,41.279514,56,2,1,82122,"PID560200182122","56001"
"40416245010690",-106.258291,41.276803,56,2,1,90336,"PID560200190336","56001"
"40416246010690",-106.071742,41.277312,56,2,1,85285,"PID560200185285","56001"
"40416247010690",-106.017276,41.277111,56,2,1,84951,"PID560200184951","56001"
"40416248010690",-105.893994,41.277953,56,2,1,85608,"PID560200185608","56001"
"40416249010690",-105.838628,41.28313,56,2,1,82632,"PID560200182632","56001"
"40416250010690",-105.776132,41.283731,56,2,1,87269,"PID560200187269","56001"
"40416251010690",-105.601953,41.283441,56,2,1,83642,"PID560200183642","56001"
"40416252010690",-105.538483,41.279789,56,2,1,90281,"PID560200190281","56001"
"40416253010690",-105.417548,41.284368,56,2,1,82898,"PID560200182898","56001"
"40416254010690",-106.310406,41.229623,56,2,1,86721,"PID560200186721","56001"
"40416255010690",-106.25428,41.231781,56,2,1,82055,"PID560200182055","56001"
"40416256010690",-106.190399,41.234452,56,2,1,85327,"PID560200185327","56001"
"40416257010690",-106.069752,41.235712,56,2,1,89985,"PID560200189985","56001"
"40416258010690",-106.019061,41.232984,56,2,1,80210,"PID560200180210","56001"
"40416259010690",-105.952816,41.233225,56,2,1,82989,"PID560200182989","56001"
"40416260010690",-105.891823,41.237555,56,2,1,81538,"PID560200181538","56001"
"40416261010690",-105.710315,41.226686,56,2,1,82183,"PID560200182183","56001"
"40416262010690",-105.658008,41.232723,56,2,1,87696,"PID560200187696","56001"
"40416263010690",-105.598291,41.233016,56,2,1,80696,"PID560200180696","56001"
"40416264010690",-105.413289,41.233217,56,2,1,82484,"PID560200182484","56001"
"40416265010690",-105.359759,41.241915,56,2,1,81980,"PID560200181980","56001"
"40416266010690",-105.2979,41.239467,56,2,1,82644,"PID560200182644","56001"
